overlap_40/1DDX5PR1_TK/1DDX5PR1_TK.log:2021-04-03 00:30:06,888 - INFO - All done! Scheme created with 12 regions, 2 gaps, 84.54% coverage
overlap_40/1DDX5PS1_TK/1DDX5PS1_TK.log:2021-04-03 00:30:23,189 - INFO - All done! Scheme created with 18 regions, 8 gaps, 83.28% coverage
overlap_40/1DDX5PS2_TK/1DDX5PS2_TK.log:2021-04-03 00:30:39,986 - INFO - All done! Scheme created with 20 regions, 9 gaps, 89.66% coverage
overlap_40/1DDX5PS3_TK/1DDX5PS3_TK.log:2021-04-03 00:30:51,543 - INFO - All done! Scheme created with 14 regions, 6 gaps, 72.99% coverage
overlap_40/1_FEH_TK/1_FEH_TK.log:2021-04-03 00:31:03,577 - INFO - All done! Scheme created with 14 regions, 6 gaps, 78.17% coverage
overlap_40/1_FFT_TK/1_FFT_TK.log:2021-04-03 00:31:18,021 - INFO - All done! Scheme created with 17 regions, 8 gaps, 81.49% coverage
overlap_40/1_SST_TK/1_SST_TK.log:2021-04-03 00:31:37,603 - INFO - All done! Scheme created with 15 regions, 5 gaps, 84.93% coverage
overlap_40/2cMDE24CS1_TK/2cMDE24CS1_TK.log:2021-04-03 00:31:43,065 - INFO - All done! Scheme created with 6 regions, 2 gaps, 75.06% coverage
overlap_40/2cMDE4PCT1_TK/2cMDE4PCT1_TK.log:2021-04-03 00:31:54,942 - INFO - All done! Scheme created with 11 regions, 1 gap, 85.13% coverage
overlap_40/3H3MC1_TK/3H3MC1_TK.log:2021-04-03 00:32:01,711 - INFO - All done! Scheme created with 8 regions, 3 gaps, 78.69% coverage
overlap_40/3H3MCR1_TK/3H3MCR1_TK.log:2021-04-03 00:32:08,565 - INFO - All done! Scheme created with 8 regions, 1 gap, 83.29% coverage
overlap_40/3H3MCR2_TK/3H3MCR2_TK.log:2021-04-03 00:32:15,340 - INFO - All done! Scheme created with 8 regions, 1 gap, 78.69% coverage
overlap_40/3H3MCR3_TK/3H3MCR3_TK.log:2021-04-03 00:32:21,904 - INFO - All done! Scheme created with 8 regions, 2 gaps, 89.6% coverage
overlap_40/3H3MCR4_TK/3H3MCR4_TK.log:2021-04-03 00:32:27,018 - INFO - All done! Scheme created with 6 regions, 2 gaps, 62.05% coverage
overlap_40/3H3MCR5_TK/3H3MCR5_TK.log:2021-04-03 00:32:32,181 - INFO - All done! Scheme created with 6 regions, 1 gap, 79.07% coverage
overlap_40/3H3MCS1_TK/3H3MCS1_TK.log:2021-04-03 00:32:39,996 - INFO - All done! Scheme created with 9 regions, 2 gaps, 78.73% coverage
overlap_40/4C5DP2CMDEK1_TK/4C5DP2CMDEK1_TK.log:2021-04-03 00:32:51,126 - INFO - All done! Scheme created with 13 regions, 4 gaps, 86.11% coverage
overlap_40/4H3M2EDPR1_TK/4H3M2EDPR1_TK.log:2021-04-03 00:33:00,673 - INFO - All done! Scheme created with 11 regions, 4 gaps, 73.82% coverage
overlap_40/4H3M2EDPR2_TK/4H3M2EDPR2_TK.log:2021-04-03 00:33:04,626 - INFO - All done! Scheme created with 4 regions, 1 gap, 57.8% coverage
overlap_40/4H3M2EDPR3_TK/4H3M2EDPR3_TK.log:2021-04-03 00:33:14,069 - INFO - All done! Scheme created with 11 regions, 4 gaps, 72.94% coverage
overlap_40/A20AN1_TK/A20AN1_TK.log:2021-04-03 00:33:16,258 - INFO - All done! Scheme created with 2 regions, 0 gaps, 42.31% coverage
overlap_40/ACC1_TK/ACC1_TK.log:2021-04-03 00:33:22,966 - INFO - All done! Scheme created with 8 regions, 3 gaps, 63.16% coverage
overlap_40/ACC2_TK/ACC2_TK.log:2021-04-03 00:33:32,435 - INFO - All done! Scheme created with 11 regions, 5 gaps, 80.07% coverage
overlap_40/ACC3_TK/ACC3_TK.log:2021-04-03 00:33:48,692 - INFO - All done! Scheme created with 19 regions, 6 gaps, 88.41% coverage
overlap_40/ACT1_TK/ACT1_TK.log:2021-04-03 00:33:53,878 - INFO - All done! Scheme created with 6 regions, 2 gaps, 70.55% coverage
overlap_40/ADPATC2_TK/ADPATC2_TK.log:2021-04-03 00:33:59,045 - INFO - All done! Scheme created with 6 regions, 1 gap, 66.93% coverage
overlap_40/ALS_TK/ALS_TK.log:2021-04-03 00:34:50,369 - INFO - All done! Scheme created with 58 regions, 22 gaps, 88.83% coverage
overlap_40/ARFA1F2_TK/ARFA1F2_TK.log:2021-04-03 00:34:55,741 - INFO - All done! Scheme created with 5 regions, 2 gaps, 71.01% coverage
overlap_40/C72_TK/C72_TK.log:2021-04-03 00:34:57,761 - INFO - All done! Scheme created with 2 regions, 0 gaps, 49.05% coverage
overlap_40/CASP1_TK/CASP1_TK.log:2021-04-03 00:35:02,176 - INFO - All done! Scheme created with 5 regions, 0 gaps, 72.68% coverage
overlap_40/CCT1_TK/CCT1_TK.log:2021-04-03 00:35:06,069 - INFO - All done! Scheme created with 4 regions, 1 gap, 68.13% coverage
overlap_40/CDPK13_TK/CDPK13_TK.log:2021-04-03 00:35:14,572 - INFO - All done! Scheme created with 10 regions, 1 gap, 83.5% coverage
overlap_40/CO_TK/CO_TK.log:2021-04-03 00:35:40,439 - INFO - All done! Scheme created with 7 regions, 3 gaps, 79.31% coverage
overlap_40/CPIP_TK/CPIP_TK.log:2021-04-03 00:35:45,826 - INFO - All done! Scheme created with 6 regions, 2 gaps, 63.22% coverage
overlap_40/CPT1_1_TK/CPT1_1_TK.log:2021-04-03 00:35:49,511 - INFO - All done! Scheme created with 4 regions, 1 gap, 57.98% coverage
overlap_40/CPT2_TK/CPT2_TK.log:2021-04-03 00:35:53,022 - INFO - All done! Scheme created with 4 regions, 1 gap, 65.71% coverage
overlap_40/CPT3_TK/CPT3_TK.log:2021-04-03 00:35:56,794 - INFO - All done! Scheme created with 4 regions, 1 gap, 54.28% coverage
overlap_40/CYP716A263_TK/CYP716A263_TK.log:2021-04-03 00:36:05,421 - INFO - All done! Scheme created with 10 regions, 4 gaps, 79.4% coverage
overlap_40/CYP716D60_TK/CYP716D60_TK.log:2021-04-03 00:36:19,733 - INFO - All done! Scheme created with 13 regions, 4 gaps, 84.99% coverage
overlap_40/DHDDS_TK/DHDDS_TK.log:2021-04-03 00:36:23,504 - INFO - All done! Scheme created with 4 regions, 1 gap, 69.65% coverage
overlap_40/DOG_1_TK/DOG_1_TK.log:2021-04-03 00:36:37,270 - INFO - All done! Scheme created with 6 regions, 2 gaps, 81.91% coverage
overlap_40/DREB_TK/DREB_TK.log:2021-04-03 00:36:41,556 - INFO - All done! Scheme created with 5 regions, 2 gaps, 76.74% coverage
overlap_40/DnaJP2_TK/DnaJP2_TK.log:2021-04-03 00:36:32,056 - INFO - All done! Scheme created with 10 regions, 3 gaps, 83.09% coverage
overlap_40/EG_TK/EG_TK.log:2021-04-03 00:37:07,633 - INFO - All done! Scheme created with 15 regions, 3 gaps, 85.86% coverage
overlap_40/EH_TK/EH_TK.log:2021-04-03 00:37:12,963 - INFO - All done! Scheme created with 5 regions, 1 gap, 68.84% coverage
overlap_40/ERF_TK/ERF_TK.log:2021-04-03 00:37:16,553 - INFO - All done! Scheme created with 4 regions, 1 gap, 70.1% coverage
overlap_40/ETR1_TK/ETR1_TK.log:2021-04-03 00:37:27,929 - INFO - All done! Scheme created with 14 regions, 6 gaps, 73.52% coverage
overlap_40/FDPS1_TK/FDPS1_TK.log:2021-04-03 00:37:38,130 - INFO - All done! Scheme created with 12 regions, 3 gaps, 86.08% coverage
overlap_40/FDPS2_TK/FDPS2_TK.log:2021-04-03 00:37:47,389 - INFO - All done! Scheme created with 11 regions, 4 gaps, 81.9% coverage
overlap_40/FTC_TK/FTC_TK.log:2021-04-03 00:38:23,487 - INFO - All done! Scheme created with 37 regions, 11 gaps, 88.76% coverage
overlap_40/FT_TK/FT_TK.log:2021-04-03 00:38:36,441 - INFO - All done! Scheme created with 15 regions, 5 gaps, 84.89% coverage
overlap_40/GDPS1_TK/GDPS1_TK.log:2021-04-03 00:38:48,230 - INFO - All done! Scheme created with 14 regions, 3 gaps, 88.17% coverage
overlap_40/GGDPS1_TK/GGDPS1_TK.log:2021-04-03 00:38:53,381 - INFO - All done! Scheme created with 6 regions, 2 gaps, 81.14% coverage
overlap_40/GGDPS2_TK/GGDPS2_TK.log:2021-04-03 00:38:58,483 - INFO - All done! Scheme created with 6 regions, 1 gap, 71.37% coverage
overlap_40/HSCP70-1_TK/HSCP70-1_TK.log:2021-04-03 00:39:04,892 - INFO - All done! Scheme created with 8 regions, 2 gaps, 74.2% coverage
overlap_40/IPDPI2_TK/IPDPI2_TK.log:2021-04-03 00:39:11,601 - INFO - All done! Scheme created with 8 regions, 1 gap, 78.77% coverage
overlap_40/IPPK_TK/IPPK_TK.log:2021-04-03 00:39:15,149 - INFO - All done! Scheme created with 4 regions, 0 gaps, 68.6% coverage
overlap_40/MDPD_TK/MDPD_TK.log:2021-04-03 00:39:22,730 - INFO - All done! Scheme created with 9 regions, 2 gaps, 78.77% coverage
overlap_40/MK1_TK/MK1_TK.log:2021-04-03 00:39:32,720 - INFO - All done! Scheme created with 12 regions, 4 gaps, 83.37% coverage
overlap_40/MLL_TK/MLL_TK.log:2021-04-03 00:39:35,779 - INFO - All done! Scheme created with 3 regions, 1 gap, 66.92% coverage
overlap_40/MLP28_TK/MLP28_TK.log:2021-04-03 00:39:38,638 - INFO - All done! Scheme created with 3 regions, 0 gaps, 73.47% coverage
overlap_40/OC1_TK/OC1_TK.log:2021-04-03 00:40:19,093 - INFO - All done! Scheme created with 37 regions, 13 gaps, 86.77% coverage
overlap_40/OC2_TK/OC2_TK.log:2021-04-03 00:40:47,506 - INFO - All done! Scheme created with 32 regions, 10 gaps, 83.22% coverage
overlap_40/OC3_TK/OC3_TK.log:2021-04-03 00:41:04,170 - INFO - All done! Scheme created with 19 regions, 5 gaps, 86.78% coverage
overlap_40/OC4_TK/OC4_TK.log:2021-04-03 00:41:20,492 - INFO - All done! Scheme created with 19 regions, 4 gaps, 89.39% coverage
overlap_40/OC5_TK/OC5_TK.log:2021-04-03 00:41:44,900 - INFO - All done! Scheme created with 28 regions, 10 gaps, 87.99% coverage
overlap_40/OC6_TK/OC6_TK.log:2021-04-03 00:42:09,253 - INFO - All done! Scheme created with 27 regions, 11 gaps, 85.02% coverage
overlap_40/PCK_TK/PCK_TK.log:2021-04-03 00:42:13,215 - INFO - All done! Scheme created with 4 regions, 1 gap, 68.85% coverage
overlap_40/PEC2_TK/PEC2_TK.log:2021-04-03 00:42:19,843 - INFO - All done! Scheme created with 8 regions, 3 gaps, 77.19% coverage
overlap_40/PIRL_TK/PIRL_TK.log:2021-04-03 00:42:27,226 - INFO - All done! Scheme created with 9 regions, 3 gaps, 75.39% coverage
overlap_40/PK1_TK/PK1_TK.log:2021-04-03 00:42:30,886 - INFO - All done! Scheme created with 4 regions, 1 gap, 50.27% coverage
overlap_40/PMEI_TK/PMEI_TK.log:2021-04-03 00:42:38,801 - INFO - All done! Scheme created with 10 regions, 4 gaps, 75.97% coverage
overlap_40/PMIP1B_TK/PMIP1B_TK.log:2021-04-03 00:42:43,894 - INFO - All done! Scheme created with 6 regions, 1 gap, 79.32% coverage
overlap_40/PP2A-3_TK/PP2A-3_TK.log:2021-04-03 00:42:56,652 - INFO - All done! Scheme created with 15 regions, 6 gaps, 81.39% coverage
overlap_40/PPMK1_TK/PPMK1_TK.log:2021-04-03 00:43:05,142 - INFO - All done! Scheme created with 10 regions, 0 gaps, 84.4% coverage
overlap_40/PPMK2_TK/PPMK2_TK.log:2021-04-03 00:43:15,157 - INFO - All done! Scheme created with 12 regions, 2 gaps, 84.12% coverage
overlap_40/PPO_TK/PPO_TK.log:2021-04-03 00:43:21,848 - INFO - All done! Scheme created with 8 regions, 2 gaps, 75.5% coverage
overlap_40/PTRP1_TK/PTRP1_TK.log:2021-04-03 00:43:25,328 - INFO - All done! Scheme created with 4 regions, 1 gap, 59.62% coverage
overlap_40/PUCP7_TK/PUCP7_TK.log:2021-04-03 00:43:36,590 - INFO - All done! Scheme created with 7 regions, 0 gaps, 85.4% coverage
overlap_40/RBP45A_TK/RBP45A_TK.log:2021-04-03 00:43:47,107 - INFO - All done! Scheme created with 13 regions, 3 gaps, 81.65% coverage
overlap_40/REF_TK/REF_TK.log:2021-04-03 00:43:52,223 - INFO - All done! Scheme created with 6 regions, 1 gap, 73.54% coverage
overlap_40/SAS1_TK/SAS1_TK.log:2021-04-03 00:43:55,713 - INFO - All done! Scheme created with 4 regions, 1 gap, 56.39% coverage
overlap_40/SOC1_TK/SOC1_TK.log:2021-04-03 00:44:13,100 - INFO - All done! Scheme created with 17 regions, 7 gaps, 87.96% coverage
