short.name,regions,gaps,coverage,overlap
1DDX5PR1_TK,12,2,84.54%,40
1DDX5PS1_TK,18,8,83.28%,40
1DDX5PS2_TK,20,9,89.66%,40
1DDX5PS3_TK,14,6,72.99%,40
1_FEH_TK,14,6,78.17%,40
1_FFT_TK,17,8,81.49%,40
1_SST_TK,15,5,84.93%,40
2cMDE24CS1_TK,6,2,75.06%,40
2cMDE4PCT1_TK,11,1,85.13%,40
3H3MC1_TK,8,3,78.69%,40
3H3MCR1_TK,8,1,83.29%,40
3H3MCR2_TK,8,1,78.69%,40
3H3MCR3_TK,8,2,89.6%,40
3H3MCR4_TK,6,2,62.05%,40
3H3MCR5_TK,6,1,79.07%,40
3H3MCS1_TK,9,2,78.73%,40
4C5DP2CMDEK1_TK,13,4,86.11%,40
4H3M2EDPR1_TK,11,4,73.82%,40
4H3M2EDPR2_TK,4,1,57.8%,40
4H3M2EDPR3_TK,11,4,72.94%,40
A20AN1_TK,2,0,42.31%,40
ACC1_TK,8,3,63.16%,40
ACC2_TK,11,5,80.07%,40
ACC3_TK,19,6,88.41%,40
ACT1_TK,6,2,70.55%,40
ADPATC2_TK,6,1,66.93%,40
ALS_TK,58,22,88.83%,40
ARFA1F2_TK,5,2,71.01%,40
C72_TK,2,0,49.05%,40
CASP1_TK,5,0,72.68%,40
CCT1_TK,4,1,68.13%,40
CDPK13_TK,10,1,83.5%,40
CO_TK,7,3,79.31%,40
CPIP_TK,6,2,63.22%,40
CPT1_1_TK,4,1,57.98%,40
CPT2_TK,4,1,65.71%,40
CPT3_TK,4,1,54.28%,40
CYP716A263_TK,10,4,79.4%,40
CYP716D60_TK,13,4,84.99%,40
DHDDS_TK,4,1,69.65%,40
DOG_1_TK,6,2,81.91%,40
DREB_TK,5,2,76.74%,40
DnaJP2_TK,10,3,83.09%,40
EG_TK,15,3,85.86%,40
EH_TK,5,1,68.84%,40
ERF_TK,4,1,70.1%,40
ETR1_TK,14,6,73.52%,40
FDPS1_TK,12,3,86.08%,40
FDPS2_TK,11,4,81.9%,40
FTC_TK,37,11,88.76%,40
FT_TK,15,5,84.89%,40
GDPS1_TK,14,3,88.17%,40
GGDPS1_TK,6,2,81.14%,40
GGDPS2_TK,6,1,71.37%,40
HSCP70-1_TK,8,2,74.2%,40
IPDPI2_TK,8,1,78.77%,40
IPPK_TK,4,0,68.6%,40
MDPD_TK,9,2,78.77%,40
MK1_TK,12,4,83.37%,40
MLL_TK,3,1,66.92%,40
MLP28_TK,3,0,73.47%,40
OC1_TK,37,13,86.77%,40
OC2_TK,32,10,83.22%,40
OC3_TK,19,5,86.78%,40
OC4_TK,19,4,89.39%,40
OC5_TK,28,10,87.99%,40
OC6_TK,27,11,85.02%,40
PCK_TK,4,1,68.85%,40
PEC2_TK,8,3,77.19%,40
PIRL_TK,9,3,75.39%,40
PK1_TK,4,1,50.27%,40
PMEI_TK,10,4,75.97%,40
PMIP1B_TK,6,1,79.32%,40
PP2A-3_TK,15,6,81.39%,40
PPMK1_TK,10,0,84.4%,40
PPMK2_TK,12,2,84.12%,40
PPO_TK,8,2,75.5%,40
PTRP1_TK,4,1,59.62%,40
PUCP7_TK,7,0,85.4%,40
RBP45A_TK,13,3,81.65%,40
REF_TK,6,1,73.54%,40
SAS1_TK,4,1,56.39%,40
SOC1_TK,17,7,87.96%,40
SQE1_TK,14,3,81.17%,40
SQE2_TK,13,5,89.38%,40
SQE3_TK,13,4,87.83%,40
SQE4_TK,12,5,74.97%,40
SQS1_TK,16,3,88.1%,40
SQS2_TK,14,2,88.8%,40
SRPP3_TK,5,1,73.15%,40
SRPP4_TK,10,4,84.08%,40
SRPP5_TK,3,0,65.88%,40
SRPP6_TK,4,1,61.05%,40
SRRP1_TK,2,0,65.22%,40
SRRP2_TK,6,2,77.49%,40
STKWNK_TK,2,0,41.74%,40
SYP124_TK,4,0,62.41%,40
TCTP1_TK,2,0,43.38%,40
