reference,regions,percent_coverage,gaps,config_step_distance,config_target_overlap,config_amplicon_size_min,config_amplicon_size_max,config_high_gc,config_primalscheme_version,config_primary_only,config_primer_size_min,config_primer_size_max,config_primer_size_opt,config_primer_gc_min,config_primer_gc_max,config_primer_gc_opt,name
1DDX5PR1_TK,12,84.54,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,1DDX5PR1_TK
1DDX5PS1_TK,18,83.28,8,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,1DDX5PS1_TK
1DDX5PS2_TK,20,89.66,9,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,1DDX5PS2_TK
1DDX5PS3_TK,14,72.99,6,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,1DDX5PS3_TK
1_FEH_TK,14,78.17,6,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,1_FEH_TK
1_FFT_TK,17,81.49,8,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,1_FFT_TK
1_SST_TK,15,84.93,5,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,1_SST_TK
2cMDE24CS1_TK,6,75.06,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,2cMDE24CS1_TK
2cMDE4PCT1_TK,11,85.13,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,2cMDE4PCT1_TK
3H3MC1_TK,8,78.69,3,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,3H3MC1_TK
3H3MCR1_TK,8,83.29,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,3H3MCR1_TK
3H3MCR2_TK,8,78.69,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,3H3MCR2_TK
3H3MCR3_TK,8,89.6,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,3H3MCR3_TK
3H3MCR4_TK,6,62.05,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,3H3MCR4_TK
3H3MCR5_TK,6,79.07,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,3H3MCR5_TK
3H3MCS1_TK,9,78.73,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,3H3MCS1_TK
4C5DP2CMDEK1_TK,13,86.11,4,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,4C5DP2CMDEK1_TK
4H3M2EDPR1_TK,11,73.82,4,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,4H3M2EDPR1_TK
4H3M2EDPR2_TK,4,57.8,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,4H3M2EDPR2_TK
4H3M2EDPR3_TK,11,72.94,4,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,4H3M2EDPR3_TK
A20AN1_TK,2,42.31,0,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,A20AN1_TK
ACC1_TK,8,63.16,3,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ACC1_TK
ACC2_TK,11,80.07,5,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ACC2_TK
ACC3_TK,19,88.41,6,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ACC3_TK
ACT1_TK,6,70.55,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ACT1_TK
ADPATC2_TK,6,66.93,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ADPATC2_TK
ALS_TK,58,88.83,22,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ALS_TK
ARFA1F2_TK,5,71.01,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ARFA1F2_TK
C72_TK,2,49.05,0,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,C72_TK
CASP1_TK,5,72.68,0,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CASP1_TK
CCT1_TK,4,68.13,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CCT1_TK
CDPK13_TK,10,83.5,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CDPK13_TK
CO_TK,7,79.31,3,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CO_TK
CPIP_TK,6,63.22,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CPIP_TK
CPT1_1_TK,4,57.98,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CPT1_1_TK
CPT2_TK,4,65.71,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CPT2_TK
CPT3_TK,4,54.28,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CPT3_TK
CYP716A263_TK,10,79.4,4,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CYP716A263_TK
CYP716D60_TK,13,84.99,4,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,CYP716D60_TK
DHDDS_TK,4,69.65,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,DHDDS_TK
DOG_1_TK,6,81.91,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,DOG_1_TK
DREB_TK,5,76.74,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,DREB_TK
DnaJP2_TK,10,83.09,3,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,DnaJP2_TK
EG_TK,15,85.86,3,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,EG_TK
EH_TK,5,68.84,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,EH_TK
ERF_TK,4,70.1,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ERF_TK
ETR1_TK,14,73.52,6,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,ETR1_TK
FDPS1_TK,12,86.08,3,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,FDPS1_TK
FDPS2_TK,11,81.9,4,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,FDPS2_TK
FTC_TK,37,88.76,11,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,FTC_TK
FT_TK,15,84.89,5,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,FT_TK
GDPS1_TK,14,88.17,3,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,GDPS1_TK
GGDPS1_TK,6,81.14,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,GGDPS1_TK
GGDPS2_TK,6,71.37,1,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,GGDPS2_TK
HSCP70-1_TK,8,74.2,2,11,40,180,500,FALSE,1.3.2,FALSE,19,34,22,30,55,50,HSCP70-1_TK
